"segmentid","street","direction","count_mm"
"32831","AVENUE OF THE AMERICAS","NB","864"
"32851","GRAND STREET","EB","672"
"32851","GRAND STREET","WB","672"
"32914","EAST 9 STREET","WB","672"
"32932","3 AVENUE","NB","864"
"32932","3 AVENUE","SB","864"
"32937","EAST 10 STREET","EB","672"
"32943","EAST 14 STREET","EB","672"
"32943","EAST 14 STREET","WB","672"
"32947","EAST 14 STREET","WB","672"
"32950","3 AVENUE","NB","672"
"32950","3 AVENUE","SB","672"
"32952","3 AVENUE","NB","672"
"32952","3 AVENUE","SB","672"
"32953","EAST 14 STREET","EB","672"
"32953","EAST 14 STREET","WB","672"
"33001","5 AVENUE","SB","864"
"33004","WEST 23 STREET","EB","864"
"33004","WEST 23 STREET","WB","864"
"33007","BROADWAY","SB","864"
"33009","5 AVENUE","SB","864"
"33012","5 AVENUE","SB","1728"
"33018","5 AVENUE","SB","864"
"33042","DELANCEY STREET","WB","672"
"33053","PITT STREET","NB","672"
"33115","2 AVENUE","SB","864"
"33118","2 AVENUE","SB","672"
"33119","1 AVENUE","NB","864"
"33121","1 AVENUE","NB","864"
"33123","1 AVENUE","NB","672"
"33128","2 AVENUE","SB","672"
"33129","EAST 14 STREET","EB","672"
"33129","EAST 14 STREET","WB","672"
"33166","LEXINGTON AVENUE","SB","864"
"33167","EAST 23 STREET","EB","864"
"33167","EAST 23 STREET","WB","864"
"33170","3 AVENUE","NB","864"
"33170","3 AVENUE","SB","864"
"33172","3 AVENUE","NB","864"
"33172","3 AVENUE","SB","864"
"33173","EAST 23 STREET","EB","864"
"33173","EAST 23 STREET","WB","864"
"33184","LEXINGTON AVENUE","SB","864"
"33186","LEXINGTON AVENUE","SB","864"
"33255","AVENUE B","NB","864"
"33255","AVENUE B","SB","864"
"33278","2 AVENUE","SB","864"
"33280","2 AVENUE","SB","864"
"33290","2 AVENUE","SB","864"
"33291","EAST 23 STREET","EB","864"
"33291","EAST 23 STREET","WB","864"
"33295","EAST 25 STREET","WB","864"
"33393","10 AVENUE","NB","864"
"33451","9 AVENUE","SB","672"
"33464","WEST 23 STREET","EB","864"
"33464","WEST 23 STREET","WB","864"
"33539","8 AVENUE","NB","864"
"33540","WEST 23 STREET","EB","864"
"33540","WEST 23 STREET","WB","864"
"33638","WEST 23 STREET","EB","864"
"33638","WEST 23 STREET","WB","864"
"33639","7 AVENUE","SB","864"
"33882","EAST 26 STREET","EB","864"
"34079","BROADWAY","SB","864"
"34122","COLUMBUS AVENUE","SB","6719"
"34156","EAST 38 STREET","EB","768"
"34197","EAST 45 STREET","WB","768"
"34257","CENTRAL PARK WEST","NB","4499"
"34257","CENTRAL PARK WEST","SB","1151"
"34332","WEST END AVENUE","NB","1455"
"34332","WEST END AVENUE","SB","1454"
"34338","AMSTERDAM AV","NB","1344"
"34338","AMSTERDAM AVENUE","NB","6503"
"34361","RIVERSIDE BOULEVARD","NB","382"
"34392","AMSTERDAM AV","NB","1344"
"34404","WEST END AVENUE","NB","1344"
"34405","WEST 72 STREET","EB","1726"
"34405","WEST 72 STREET","WB","1633"
"34406","WEST END AVENUE","SB","1344"
"34410","WEST END AVENUE","NB","1344"
"34421","WEST END AVENUE","SB","1344"
"34497","AMSTERDAM AV","NB","1344"
"34502","COLUMBUS AVENUE","SB","1344"
"34505","WEST 72 STREET","EB","1721"
"34505","WEST 72 STREET","WB","1530"
"34506","BROADWAY","SB","4326"
"34520","AMSTERDAM AVENUE","NB","1344"
"34526","WEST END AVENUE","NB","1344"
"34543","WEST END AVENUE","SB","1344"
"34645","1 AVENUE","NB","864"
"34651","EAST 25 STREET","WB","864"
"34858","KENT AVENUE","NB","864"
"34885","KENT AVENUE","NB","385"
"34886","NORTH 4 STREET","WB","386"
"34958","BERRY STREET","NB","1348"
"35042","CLAY STREET","EB","864"
"35093","NORTH 10 STREET","WB","782"
"35094","DRIGGS AVENUE","SB","786"
"35105","BERRY STREET","NB","1345"
"35151","GREENPOINT AVENUE","EB","864"
"35151","GREENPOINT AVENUE","WB","864"
"35158","MANHATTAN AVENUE","SB","396"
"35164","MANHATTAN AVENUE","NB","396"
